handle,rating,class,solvedCount,maxStreak
koosaga,3315,10,13796,24
cki86201,3228,10,6901,38
ainta,3216,10,4772,4
mitnegativeinfinity,3214,10,2979,8
world_vanquisher,3194,10,693,10
utilforever,3173,10,5386,956
qwerasdfzxcl,3154,10,2370,269
yclock,3154,10,3058,6
yijw0930,3154,10,2623,302
jhnah917,3151,10,12526,1407
moonrabbit2,3134,10,1622,55
Lawali,3132,10,2845,9
opera_tive,3128,10,6957,818
sebinkim,3125,10,2708,67
jthis,3124,10,3681,366
serin,3111,10,1654,150
ronnie007,3104,10,1111,512
gs18115,3098,10,1159,65
imeimi2000,3085,10,1567,7
dkim110807,3076,10,3204,699
mhy908,3067,10,909,5
chmpro,3060,10,5545,536
xiaowuc1,3059,10,16215,55
sorohue,3048,10,4907,765
jeoffrey0522,3046,10,2273,52
79brue,3042,10,3666,752
arnold518,3038,10,1711,10
edecudo,3026,10,10431,268
ohwphil,3013,8,4191,512
rkm0959,3012,9,3216,2
jhwest2,3011,10,4370,22
kcm1700,3010,10,3432,774
jh05013,3008,10,6590,697
azberjibiou,3007,10,1712,9
urd05,3007,10,1949,33
onjo0127,3004,10,2647,66
dlalswp25,3003,10,2003,1000
vkdldjvkdnj,2991,10,3635,895
TAMREF,2987,9,1727,6
sukh1222,2978,10,732,3
songc,2977,10,828,8
aeren,2972,8,1300,9
tony9402,2972,9,5510,11
jjang36524,2971,9,1526,13
redcube231,2968,6,1109,645
flappybird,2964,9,1354,198
byunjaewoo,2961,9,1277,19
jeroenodb,2961,10,673,8
lisifu,2958,10,962,25
kuhyaku,2947,8,1353,171
menborong,2636,8,2388,649
sjoonmin07,2636,8,891,45
shjgkwo,2635,9,1139,4
thak00,2635,8,2106,55
eric00513,2633,7,3482,237
bomul1128,2632,8,2608,613
reperdof,2632,9,1261,113
WeissBlume,2632,8,3618,1024
solarmagic,2631,8,2422,96
coconut99,2630,7,1254,99
imax,2630,8,7463,1310
bluefire,2627,9,709,2
m4ushold,2626,8,3494,700
dlrkddnr2718,2624,8,545,38
sean9892,2624,8,1416,7
sonamoo,2624,8,547,46
ian0704,2623,8,1145,81
messi,2623,9,731,13
ekwoo,2622,8,2167,28
kep1er07,2620,8,3864,1116
aaronc385,2618,8,616,23
rhs0266,2618,5,1067,2
shjohw12,2618,8,2002,13
plast,2617,8,637,5
reunai,2617,8,1289,500
red1108,2616,8,416,4
kimjw0628,2615,8,1276,107
kks227,2615,8,3218,1
melon940925,2615,8,636,3
gs22059,2614,7,1202,381
keystone7,2613,6,672,5
measurezero,2612,8,10389,630
zych1751,2612,8,3584,6
kkt89,2611,5,2098,9
gubshig,2609,8,1091,22
jaydoubluel,2608,1,1070,2
fefe,2607,9,513,5
jinboy73,2607,8,698,13
kjp4155,2607,7,2335,7
ruz,2607,8,2080,7
aurora2001,2606,10,151,5
sujin,2605,7,1866,4
potato2,2603,8,1106,269
ftkbrian,2602,7,436,10
octane,2602,8,926,6
akim9905,2601,8,2697,128
jenny00513,2601,8,1345,91
js9028,2601,8,1772,28
swoon,2601,8,2109,79
dong_gas,2600,8,2546,423
loreips3115,2840,9,1126,198
artichoke42,2839,9,1699,161
functionx,2839,4,1713,37
hwanghy0710,2838,8,332,15
lem0nad3,2834,9,2533,275
jwpassion1,2833,10,2299,220
realpsdoingdamyoo,2833,8,930,80
wbcho0504,2833,9,3845,13
myungwoo,2831,9,3368,292
ho94949,2829,8,3265,98
zenith82114,2828,9,1651,33
sjimed,2827,9,874,21
wjdclgns12,2827,10,2156,6
byeongkeunahn,2823,10,662,5
queued_q,2820,9,1319,64
riantkb,2814,10,361,22
sharaelong,2813,9,1678,141
Coxie,2811,10,2544,18
hamuim,2810,8,2500,594
imtore,2810,9,976,219
penguin1234,2809,9,1510,36
leo020630,2805,10,3818,365
puppy,2803,8,771,17
ingyu1008,2801,9,2141,283
nick832,2797,8,1913,57
seastar105,2797,8,1466,21
knon0501,2795,9,1589,14
pentagon03,2795,9,2551,155
alex9801,2793,9,5208,1286
tjgus1668,2792,8,1421,415
kohandy,2790,8,2629,512
bubbler,2789,8,5578,204
Juno,2787,9,2819,4
thomas_li,2787,10,709,8
ncy09,2785,9,1818,18
dnialh,2784,8,350,8
gs18103,2783,9,807,41
math_rabbit_1028,2779,6,727,33
hibye1217,2777,10,4951,121
kimjihoon,2777,7,1834,5
zigui,2777,6,1721,6
snrnsidy,2771,8,7578,47
shack,2769,9,1419,58
leeh18,2767,8,3115,908
luciaholic,2767,9,4510,1407
surface_03,2767,6,934,26
henryx,2764,8,368,12
jwvg0425,2764,9,4387,9
physics0523,2764,10,993,21
leejseo,2763,7,1195,63
haensol,2724,9,357,17
palilo,2724,9,4605,239
terrasphere,2724,8,1612,142
cologne,2722,0,1173,179
iktk,2722,8,10137,756
jjwdi0,2721,9,4430,6
hellogaon,2720,9,4000,118
gojib2002,2719,9,3388,512
amel,2717,9,1716,12
edwardblue,2715,9,786,24
onemoreyear,2715,9,2708,22
unused,2715,9,2439,24
gina,2714,9,732,4
soloplay,2714,8,677,24
dongggle,2712,7,1626,22
eunlin,2711,9,3458,404
gggkik,2711,8,3555,1340
klimmek55,2711,8,3740,166
ahgus89,2710,8,931,3
ansemddl97,2709,9,1086,5
ckj31110,2709,9,948,51
hidercpp,2709,8,2440,664
osier_star,2709,8,1679,1034
djeleanor2,2708,7,4063,455
rootenter,2708,5,417,11
dbsdbxkrzz,2707,9,4781,1034
jsch,2707,7,1323,517
goodpjw2008,2706,8,2315,48
yj10516,2706,8,987,9
jakekim0105,2705,9,1141,26
